final_x, final_y, final_z, guessed_x, guessed_y, guessed_z
-0.076474, -0.071594, -0.200288, -0.235175, -0.066471, -0.162095
-0.087923, -0.053383, -0.195815, -0.253827, -0.047755, -0.169716
-0.096673, -0.037696, -0.192398, -0.266317, -0.032047, -0.162067
-0.110571, -0.036646, -0.199371, -0.334408, -0.028999, -0.222899
-0.108058, -0.033929, -0.196130, -0.298001, -0.029354, -0.164682
-0.107459, -0.034342, -0.201758, -0.275611, -0.039621, -0.173644
-0.106620, -0.030128, -0.201685, -0.260805, -0.031402, -0.161649
-0.105018, -0.026620, -0.203115, -0.244131, -0.027695, -0.158163
-0.107066, -0.026317, -0.209981, -0.251400, -0.025790, -0.175873
-0.104861, -0.025242, -0.218603, -0.248180, -0.025484, -0.178121
-0.100059, -0.026064, -0.225374, -0.257418, -0.025558, -0.197655
-0.095973, -0.028615, -0.231192, -0.262193, -0.028976, -0.207864
-0.093071, -0.032304, -0.238218, -0.262621, -0.032507, -0.219846
-0.091312, -0.037839, -0.242233, -0.266147, -0.038626, -0.228668
-0.088955, -0.043374, -0.247765, -0.270267, -0.042763, -0.242753
-0.086084, -0.052148, -0.252967, -0.261876, -0.053002, -0.243199
-0.089150, -0.063143, -0.257971, -0.265755, -0.064925, -0.251151
-0.087924, -0.070982, -0.260823, -0.262096, -0.076301, -0.260371
-0.084458, -0.078905, -0.263725, -0.258955, -0.084490, -0.264338
-0.080801, -0.085571, -0.265446, -0.254888, -0.094632, -0.270351
-0.076111, -0.092530, -0.266092, -0.243702, -0.100335, -0.266289
-0.068313, -0.099200, -0.270377, -0.228004, -0.099550, -0.246440
-0.060161, -0.103522, -0.273250, -0.217211, -0.099920, -0.235990
-0.055875, -0.107993, -0.274162, -0.214888, -0.105464, -0.240312
-0.051828, -0.113254, -0.274725, -0.208017, -0.109035, -0.235710
-0.048592, -0.117090, -0.273803, -0.210651, -0.115887, -0.244274
-0.044482, -0.120240, -0.272527, -0.215148, -0.123870, -0.253635
-0.040668, -0.121834, -0.270621, -0.210301, -0.124845, -0.254744
-0.037337, -0.123322, -0.267998, -0.205905, -0.127116, -0.256085
-0.035027, -0.123256, -0.266610, -0.210554, -0.128364, -0.258349
-0.032898, -0.123719, -0.263517, -0.207254, -0.130485, -0.259147
-0.032115, -0.122782, -0.261219, -0.204389, -0.130189, -0.256902
-0.031029, -0.122178, -0.258820, -0.209958, -0.132863, -0.260927
-0.030477, -0.122075, -0.257844, -0.212891, -0.134239, -0.264564
-0.030699, -0.122066, -0.254974, -0.214498, -0.137085, -0.267464
-0.030520, -0.121165, -0.253158, -0.211658, -0.136194, -0.263891
-0.030230, -0.121003, -0.251138, -0.209223, -0.137193, -0.266583
-0.030321, -0.120205, -0.250466, -0.219280, -0.139573, -0.273284
-0.030465, -0.119589, -0.248393, -0.213905, -0.137089, -0.265621
-0.030489, -0.118768, -0.248071, -0.214008, -0.130204, -0.250384
-0.032992, -0.121406, -0.249814, -0.205358, -0.128630, -0.240724
-0.035608, -0.123554, -0.250710, -0.209516, -0.130716, -0.239637
-0.037363, -0.124390, -0.253287, -0.206888, -0.127983, -0.238902
-0.041360, -0.128762, -0.252341, -0.220900, -0.135599, -0.247227
-0.041862, -0.130145, -0.249662, -0.220000, -0.135329, -0.240888
-0.042613, -0.128459, -0.249544, -0.220024, -0.132522, -0.239610
-0.044320, -0.126578, -0.249490, -0.216183, -0.128050, -0.230659
-0.047614, -0.125912, -0.249992, -0.218392, -0.128100, -0.232481
-0.051099, -0.127138, -0.252037, -0.218484, -0.129983, -0.236281
-0.057895, -0.130483, -0.251641, -0.237639, -0.138885, -0.251759
-0.057894, -0.130747, -0.255260, -0.230540, -0.139352, -0.252871
-0.056011, -0.128286, -0.252499, -0.239105, -0.146180, -0.262476
-0.056560, -0.128139, -0.252137, -0.223752, -0.135110, -0.241641
-0.056976, -0.127973, -0.252694, -0.218849, -0.132768, -0.235946
-0.057373, -0.127825, -0.252584, -0.218827, -0.132328, -0.233882
-0.055926, -0.127513, -0.254325, -0.213679, -0.130196, -0.227232
-0.051727, -0.127878, -0.255066, -0.227031, -0.137174, -0.240117
-0.053408, -0.130962, -0.250672, -0.233738, -0.143843, -0.250277
-0.053752, -0.130898, -0.249401, -0.224117, -0.135826, -0.233265
-0.053397, -0.130170, -0.248500, -0.222787, -0.134983, -0.230559
-0.055405, -0.130890, -0.248460, -0.221915, -0.132438, -0.224618
-0.060337, -0.134740, -0.246716, -0.231897, -0.142128, -0.237317
-0.065175, -0.136094, -0.241836, -0.235054, -0.146862, -0.247768
-0.065615, -0.135392, -0.239679, -0.255554, -0.159107, -0.266213
-0.062198, -0.131824, -0.239682, -0.244584, -0.150410, -0.256524
-0.060383, -0.130030, -0.242797, -0.234698, -0.138151, -0.236216
-0.057928, -0.129752, -0.244230, -0.230586, -0.136012, -0.229898
-0.060336, -0.127707, -0.242085, -0.231664, -0.136484, -0.227482
-0.063269, -0.129831, -0.240270, -0.232208, -0.135837, -0.224802
-0.062332, -0.127686, -0.240168, -0.215398, -0.126541, -0.205189
-0.062871, -0.128638, -0.239201, -0.220094, -0.127202, -0.205065
-0.068417, -0.130296, -0.238850, -0.220366, -0.129892, -0.209619
-0.073974, -0.135212, -0.240267, -0.233834, -0.140476, -0.226939
-0.074453, -0.133937, -0.238938, -0.259540, -0.158119, -0.260748
-0.071226, -0.132218, -0.240221, -0.247626, -0.145587, -0.239743
-0.072251, -0.129789, -0.241587, -0.247108, -0.139679, -0.234726
-0.072786, -0.127769, -0.243799, -0.247294, -0.135469, -0.230719
-0.072800, -0.127785, -0.243813, -0.241975, -0.133471, -0.227735
-0.073003, -0.127844, -0.243766, -0.242838, -0.134547, -0.232847
-0.073164, -0.128162, -0.243723, -0.239299, -0.135707, -0.228117
-0.073442, -0.128616, -0.243927, -0.237091, -0.133719, -0.223427
-0.073526, -0.128817, -0.243964, -0.238704, -0.133282, -0.220529
-0.073651, -0.129422, -0.244336, -0.238460, -0.132583, -0.217650
-0.073370, -0.129523, -0.244544, -0.238074, -0.132314, -0.219124
-0.073283, -0.129484, -0.244680, -0.237652, -0.132402, -0.219483
-0.073136, -0.129358, -0.245119, -0.237662, -0.131748, -0.216830
-0.072782, -0.129329, -0.245537, -0.232335, -0.131244, -0.215103
-0.072862, -0.127364, -0.245815, -0.237101, -0.130811, -0.219586
-0.072630, -0.126603, -0.246615, -0.237926, -0.130264, -0.223793
-0.072496, -0.125618, -0.247249, -0.232577, -0.126511, -0.215856
-0.072436, -0.124282, -0.247849, -0.232524, -0.125639, -0.214406
-0.072697, -0.122191, -0.248516, -0.232367, -0.124227, -0.213920
-0.073147, -0.120525, -0.247570, -0.232075, -0.124227, -0.212109
-0.072166, -0.119133, -0.248442, -0.234216, -0.121681, -0.213553
-0.071681, -0.119456, -0.247946, -0.234603, -0.122278, -0.213787
-0.071349, -0.120075, -0.246718, -0.235237, -0.123453, -0.212651
-0.071053, -0.120091, -0.246918, -0.239160, -0.125992, -0.219319
-0.070098, -0.119493, -0.245493, -0.233486, -0.123791, -0.214067
-0.069112, -0.118247, -0.244086, -0.222712, -0.117522, -0.201126
-0.067487, -0.117956, -0.243269, -0.232174, -0.121203, -0.213292
-0.066599, -0.116895, -0.243180, -0.227504, -0.117619, -0.213794
-0.065504, -0.117536, -0.244755, -0.212872, -0.111531, -0.199584
-0.063213, -0.115188, -0.245809, -0.201255, -0.107151, -0.189540
-0.061923, -0.115980, -0.245344, -0.211293, -0.112386, -0.201128
-0.059080, -0.117188, -0.245225, -0.207089, -0.111141, -0.192918
-0.056736, -0.118438, -0.244750, -0.213524, -0.114143, -0.197134
-0.054298, -0.119756, -0.243979, -0.207408, -0.112673, -0.187914
-0.054120, -0.121786, -0.244783, -0.207351, -0.112865, -0.190070
-0.054206, -0.124656, -0.241088, -0.210676, -0.116816, -0.191432
-0.055147, -0.124240, -0.241176, -0.199763, -0.112228, -0.183459
